ID,Perfil do Cliente,1. Abertura & Diagnóstico (Gabi),2. Apresentação (Preço Cheio - Ancoragem),"3. Objeção ""Sem Dinheiro"" (Cliente)",4. Cartada Black Friday (Gabi),5. Fechamento (Gabi)
1,Estudante / Bico (Falta de capital imediato),"""Oi! 😊 Gabi da SPDrop. Vi que quer renda extra. Quanto você consegue investir hoje?""","""O ideal pra você testar é o Mensal de **R$ 99**. É menos que uma pizza pra começar seu negócio.""","""Putz, R$ 99 tá pesado pra mim agora. Final de mês, sabe como é...""","(Escassez Black Friday) ""Te entendo! Mas olha, eu consigo liberar uma condição de Black Friday agora: O mensal cai pra R$ 69. É praticamente R$ 2 por dia!""","""R$ 69 cabe no bolso? Vou segurar essa vaga por 15 min pra você. Segue o link!"""
2,Mãe Solo (Orçamento apertado),"""Olá! Gabi aqui. Entendi que precisa de renda trabalhando de casa. Já conhece a SPDrop?""","""Recomendo muito o Plano Semestral: R$ 499. Te dá 6 meses de tranquilidade pra lucrar.""","""Gostei muito, mas não tenho R$ 499 no limite do cartão agora.""","(Oportunidade Única) ""Imagina perder 6 meses de vendas por causa de R$ 50? 🛑 Liberei aqui o lote de Black Friday: O semestral sai por R$ 447 hoje.""","""Essa diferença te ajuda a fechar agora? O link atualizado já está na mão!"""
3,O Endividado (Quer sair do buraco),"""Oiê! 👋 Gabi na área. Qual sua meta financeira urgente com a gente?""","""Pra você virar o jogo, o Semestral é o foco. São R$ 499 pra ter a ferramenta completa.""","""Moça, eu tô com nome sujo, sem um tustão furado. Queria, mas não dá.""","(Empatia + Facilidade) ""Eu sei como é querer mudar e faltar a ferramenta. Vamos fazer assim: Te coloco na tabela Black Friday do Mensal. Só R$ 69 pra você fazer a primeira venda.""","""Com uma venda você já paga a mensalidade. Bora arriscar esses 69 pra mudar de vida?"""
4,"O ""Pão Duro"" (Tem dinheiro, mas não quer gastar)","""Tudo bem? Gabi falando. Vi que você quer economizar tempo com nosso estoque.""","""O Plano Anual é o melhor: R$ 999. Você resolve o ano todo e foca só em vender.""","""Achei salgado. A concorrência cobra menos. Vou esperar virar o ano.""","(Senso de Urgência) ""Esperar é perder a alta de vendas do Natal! 🎅 Olha, na Black Friday o Anual caiu pra R$ 897. É o menor valor da história da empresa.""","""São R$ 100 de desconto real pra você começar hoje. Posso gerar o link?"""
5,CLT com Medo (Risco financeiro),"""Oi [Nome]! Gabi aqui. O que te impede de começar seu negócio hoje?""","""Normal ter medo! O Semestral (R$ 499**) é o tempo exato pra você validar e ter lucro.""","""É que se eu pagar 499 e não der certo, minha esposa me mata. Tô curto de grana.""","(Lógica Irrefutável) ""E se eu baixar pra **R$ 447 na oferta de Black Friday? Pensa comigo: dividido em 12x dá uns R$ 40. Menos que um lanche.""","""Por R$ 40 mensais você monta uma loja com +1000 produtos. O risco é zero perto do retorno. Vamos?"""
6,Jovem Aprendiz (Primeiro investimento),"""Oie! 😊 Gabi da SPDrop. Pronta pra ter sua independência financeira?""","""Começa com o pé direito no Semestral de R$ 499**. É o plano dos campeões.""","""Nossa, meu salário é 600 reais... 499 é quase tudo o que eu ganho.""","(Downsell Agressivo) ""Entendi! Não quero que você se aperte. Vamos aproveitar a Black Friday no plano Mensal então? Caiu pra **R$ 69.""","""É perfeito pra você testar sem comprometer seu salário. O que me diz?"""
7,O Cético do Preço (Acha que não vale),"""Olá! Vi que você tá em dúvida. O que falta pra gente fechar?""","""O sistema completo, com fornecedores e suporte, sai a R$ 99/mês**.""","""99 reais só pra ter acesso a fornecedor? Acho caro pra quem tá começando.""","(Valor x Preço) ""Não é só fornecedor, é logística e automação! Mas pra te provar o valor, pega a oferta Black Friday: **R$ 69 no primeiro mês.""","""Por 69 reais você testa tudo. Se não vender (o que duvido), você cancela. Justo?"""
8,Aposentado (Renda complementar limitada),"""Oi Sr(a)! Gabi aqui. Como posso ajudar a aumentar sua renda?""","""O ideal seria o plano de 6 meses (R$ 499**) para o senhor aprender com calma.""","""Minha aposentadoria mal paga os remédios, minha filha. Tá muito alto.""","(Ajuda Especial) ""Compreendo perfeitamente. Vou falar com meu gerente pra aplicar o desconto de Black Friday no Semestral: Fica **R$ 447.""","""Isso dá uma folga boa no orçamento e garante 6 meses de acesso. O senhor consegue fazer no cartão?"""
9,Empreendedor Iniciante (Capital de giro curto),"""Tudo joia? Gabi falando. Já tem loja ou vai usar a nossa?""","""Vou usar a de vocês. O Anual (R$ 999**) parece bom, mas descapitaliza muito.""","""Exato, preciso de grana pra tráfego pago. 1k agora me quebra.""","(Troca Estratégica) ""Faz total sentido investir em tráfego! 🧠 Então pega o Anual na Black Friday por **R$ 897. Sobra mais de R$ 100 pro seus anúncios.""","""Você economiza na ferramenta pra investir na venda. Estratégia inteligente, né? Segue o link promocional."""
10,A Desconfiada (Medo de golpe + Sem grana),"""Oi! Gabi da SPDrop. Vi que começou o cadastro e parou. O que houve?""","""Vi que custa R$ 99. Achei que era de graça pra começar.""","""Ah, entendi! Nada de qualidade é de graça, né? Temos custos reais de operação.""","(Quebra de Barreira) ""Mas olha, como estamos em campanha de Black Friday, consigo liberar sua entrada por R$ 69.""","""É um valor simbólico pra filtrar quem quer trabalhar sério de curiosos. Você é do time que quer fazer acontecer?"""
